Station,Total,Lat,Lng
90 ST-ELMHURST,101918,40.748541,-73.876791
NECK ROAD,25976,40.595234,-73.95509
WOODHAVEN BLVD,173406,40.693866,-73.851568
23 ST-6 AVE,149689,40.742981,-73.992727
W 4 ST-WASH SQ,270482,40.732251,-74.000559
METS-WILLETS PT,30273,40.754622,-73.845625
137 ST-CITY COL,85403,40.821994,-73.953674
ELMHURST AVE,86700,40.742445,-73.882005
BOWERY,22459,40.720315,-73.994014
CLEVELAND ST,21487,40.679938,-73.884687
BROADWAY,25727,40.7061,-73.950348
DYCKMAN ST,45710,40.860523,-73.925575
WHITEHALL ST,103695,40.703082,-74.012983
JAMAICA-179 ST,134646,40.712622,-73.783815
2 AVE,110996,40.723291,-73.989873
BRIGHTON BEACH,80578,40.577961,-73.961806
4 AVE,25239,40.67032,-73.988757
WILSON AVE,28638,40.688676,-73.903999
JACKSON AVE,32280,40.816505,-73.907797
63 DR-REGO PARK,103819,40.729869,-73.86161
HUNTERS PT AVE,37426,40.74238,-73.948889
5 AVE-59 ST,126183,40.764909,-73.973372
BEDFORD/NOSTRAN,51385,40.689636,-73.953459
BEACH 98 ST,4904,40.585514,-73.820143
COURT SQ,79701,40.747257,-73.945112
3 AVE,43957,40.733243,-73.987169
PAVONIA/NEWPORT,115009,,
215 ST,12019,40.869359,-73.915329
WINTHROP ST,43708,40.656648,-73.950198
167 ST,124338,40.833773,-73.91843
BROOK AVE,37934,40.808044,-73.919234
AVE N,20698,40.615174,-73.974166
AVE M,31874,40.617568,-73.95936
225 ST,27726,40.887887,-73.860505
AVE J,34408,40.625028,-73.960819
AVE I,13077,40.625305,-73.975732
AVE H,16207,40.629164,-73.961678
METROPOLITAN AV,89089,40.711353,-73.88958
LEFFERTS BLVD,39561,40.685975,-73.824713
AVE X,18054,40.589547,-73.974295
AVE U,83530,40.599307,-73.955916
AVE P,17239,40.609147,-73.972986
5 AVE-BRYANT PK,74225,40.753824,-73.981966
E 180 ST,52336,40.841882,-73.873551
125 ST,484018,40.804406,-73.937452
168 ST-BROADWAY,153903,40.840778,-73.940091
ROCKAWAY BLVD,8714,40.680429,-73.843853
CLARK ST,39426,40.697356,-73.992888
FRANKLIN AVE,102336,40.681159,-73.956056
RIT-ROOSEVELT,28186,40.7574,-73.954006
BAYCHESTER AVE,19209,40.878656,-73.838596
E TREMONT AVE,50433,40.840097,-73.879774
STILLWELL AVE,152183,40.577423,-73.981225
BAY 50 ST,16753,40.588879,-73.983629
BEACH 90 ST,8063,40.588032,-73.813684
MARCY AVE,85607,40.708377,-73.957751
65 ST,24061,40.749663,-73.898485
SIMPSON ST,58691,40.82417,-73.893228
SUTTER AVE,76316,40.669376,-73.902047
FORDHAM ROAD,148668,40.862803,-73.901034
242 ST,43488,40.889185,-73.898549
WHITLOCK AVE,10946,40.826508,-73.886425
JEFFERSON ST,49128,40.706636,-73.922925
BURNSIDE AVE,65211,40.85339,-73.907733
BAY RIDGE AVE,48770,40.634945,-74.023411
THIRTY ST,61850,,
VAN WYCK BLVD,28329,40.709174,-73.820593
BAY PKY-22 AVE,48428,40.612006,-73.982009
LEXINGTON-53 ST,256644,40.75753,-73.969102
EXCHANGE PLACE,89679,40.716737,-74.033024
BOTANIC GARDEN,9279,40.670499,-73.958759
103 ST,161468,40.790582,-73.947473
138 ST-GR CONC,21280,40.813208,-73.929877
9 AVE,32391,40.646343,-73.994551
111 ST,84708,40.697405,-73.836354
BEDFORD PARK BL,77363,40.873026,-73.886919
SUTPHIN BLVD,183737,40.700488,-73.807933
67 AVE,54996,40.726462,-73.85263
CANAL ST,461652,40.718233,-74.000323
LONGWOOD AVE,21454,40.816083,-73.89606
WOODLAWN ROAD,47718,40.885973,-73.878851
110 ST,89757,40.795066,-73.944297
CLASSON AVE,31230,40.688855,-73.960025
ESSEX ST,58649,40.71838,-73.987813
ROCKAWAY PKY,79519,40.64666,-73.901832
34 ST-HERALD SQ,750931,40.749533,-73.987899
GRANT AVE,41370,40.677107,-73.865376
77 ST,251337,40.773636,-73.959875
23 ST,397964,40.740088,-73.986429
36 ST,111796,40.75202,-73.92874
18 AVE,100154,40.629881,-73.977149
14 ST-UNION SQ,684973,40.734836,-73.990688
GREENPOINT AVE,55931,40.731324,-73.954425
