Station,4WkTotal,PerWkAverage,Sat_Av,Sun_Av,Mon_Av,Tues_Av,Weds_Av,Thurs_Av,Fri_Av,Lat,Lng
"('COURT SQ', 'EMG')",218287,54571.75,2285,2258,9658,10512,10331,10010,9064,40.747257,-73.945112
"('HOUSTON ST', '1')",351837,87959.25,3572,3813,14898,16548,16279,16404,15210,40.728202,-74.005344
"('HUNTS POINT AVE', '6')",260487,65121.75,5656,4660,10712,10514,11204,10858,10991,40.820889,-73.890567
"('WOODLAWN ROAD', '4')",197804,49451.0,4560,4376,7726,7924,8176,7992,8064,40.885973,-73.878851
"('45 ST', 'R')",184074,46018.5,4643,4131,7097,7377,7531,7353,7470,40.648866,-74.010086
"('GRAND ST', 'L')",181165,45291.25,3925,3632,7233,7383,7610,7303,7601,40.711874,-73.94067
"('FRANKLIN AVE', '2345S')",252984,63246.0,6040,5761,9772,10164,10505,10205,10108,40.670711,-73.958051
"('MONTROSE AVE', 'L')",187387,46846.75,5053,5264,7045,7063,7212,7140,7350,40.707889,-73.940005
"('BROADWAY', 'G')",106048,26512.0,2817,2671,4088,3990,4237,4117,4353,40.7061,-73.950348
"('BOWERY', 'JZ')",90369,22592.25,2239,2877,3181,3251,3417,3419,3621,40.720315,-73.994014
"('18 AVE', 'D')",153861,38465.25,3037,2773,6329,6418,6630,6479,6510,40.607958,-74.001782
"('116 ST', '23')",324631,81157.75,8531,8167,12274,12556,12995,12663,13075,40.802098,-73.949625
"('BAY PARKWAY', 'D')",187531,46882.75,4055,3984,7601,7701,7844,7704,7712,40.601898,-73.993821
"('BOROUGH HALL/CT', 'R2345')",56661,14165.25,1122,1405,2152,2337,2380,2319,2236,40.692404,-73.990151
"('WAKEFIELD-241', '2')",138033,34508.25,3494,3093,5420,5279,5794,5491,5595,40.903085,-73.850591
"('WALL ST', '45')",558081,139520.25,7816,6182,24046,25498,25910,25650,23743,40.707466,-74.011867
"('174 ST', '25')",160281,40070.25,3982,3391,6450,6334,6508,6371,6670,40.837382,-73.887659
"('METROPOLITAN AV', 'M')",104690,26172.5,1542,1521,4425,4529,4752,4687,4405,40.711353,-73.88958
"('42 ST-GRD CNTRL', '4567S')",3838153,959538.25,52491,53087,161927,175941,171003,172296,161789,40.751849,-73.976945
"('BEACH 25 ST', 'A')",46835,11708.75,961,895,1950,1923,2020,1902,1961,40.600138,-73.76152
"('JEFFERSON ST', 'L')",212286,53071.5,6362,6840,7572,7562,7790,7887,7982,40.706636,-73.922925
"('W 4 ST-WASH SQ', 'ABCDEFM')",1115571,278892.75,24882,29571,38800,41956,44569,45532,45898,40.732251,-74.000559
"('3 AVE', 'L')",189311,47327.75,4706,5596,6349,7000,7294,7142,7768,40.733243,-73.987169
"('7 AV-PARK SLOPE', 'FG')",319146,79786.5,6939,6833,11959,12654,12737,14002,12865,40.666276,-73.980324
"('GRAND AV-NEWTON', 'MR')",433133,108283.25,10873,9748,17386,17449,17148,16902,17852,40.736998,-73.877242
"('BEVERLEY ROAD', 'BQ')",71451,17862.75,1443,1335,2843,2939,3192,2967,2962,40.643982,-73.96451
"('190 ST', 'A')",125614,31403.5,3596,3193,4706,4887,4985,4971,4874,40.859022,-73.93419
"('ST. GEORGE', '1')",332679,83169.75,4132,3812,14358,14926,15525,15136,14329,40.643738,-74.073622
"('HUNTERS PT AVE', '7')",151714,37928.5,1393,1230,7126,7379,7204,7132,6307,40.74238,-73.948889
"('MYRTLE AVE', 'JMZ')",296099,74024.75,7022,7057,11433,11668,11996,11892,12187,40.697266,-73.935692
"('163 ST-AMSTERDM', 'C')",114139,28534.75,3100,2703,4405,4358,4642,4537,4578,40.835957,-73.939898
"('SUTTER AVE', 'L')",118976,29744.0,2707,2416,4724,4710,5006,4807,5095,40.669376,-73.902047
"('PARK PLACE', '23ACE')",89952,22488.0,1039,961,3736,4178,4313,4222,3801,40.713061,-74.008777
"('JFK JAMAICA CT1', 'E')",190794,47698.5,6256,6640,7682,7392,7706,8339,8079,40.643942,-73.782356
